Image ID,Path,Breed Name,Coat Length,Personality
Abyssinian_01,All_Breeds_Dataset/Abyssinian_images\Abyssinian_01.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_02,All_Breeds_Dataset/Abyssinian_images\Abyssinian_02.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_03,All_Breeds_Dataset/Abyssinian_images\Abyssinian_03.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_04,All_Breeds_Dataset/Abyssinian_images\Abyssinian_04.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_05,All_Breeds_Dataset/Abyssinian_images\Abyssinian_05.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_06,All_Breeds_Dataset/Abyssinian_images\Abyssinian_06.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_07,All_Breeds_Dataset/Abyssinian_images\Abyssinian_07.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_08,All_Breeds_Dataset/Abyssinian_images\Abyssinian_08.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_09,All_Breeds_Dataset/Abyssinian_images\Abyssinian_09.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_10,All_Breeds_Dataset/Abyssinian_images\Abyssinian_10.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_11,All_Breeds_Dataset/Abyssinian_images\Abyssinian_11.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_12,All_Breeds_Dataset/Abyssinian_images\Abyssinian_12.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_13,All_Breeds_Dataset/Abyssinian_images\Abyssinian_13.png,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
