Image ID,Path,Breed Name,Coat Length,Personality
Abyssinian_35,Data/Abhi\Abyssinian\Abyssinian_35.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_36,Data/Abhi\Abyssinian\Abyssinian_36.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_37,Data/Abhi\Abyssinian\Abyssinian_37.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_38,Data/Abhi\Abyssinian\Abyssinian_38.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_39,Data/Abhi\Abyssinian\Abyssinian_39.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_40,Data/Abhi\Abyssinian\Abyssinian_40.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_41,Data/Abhi\Abyssinian\Abyssinian_41.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_42,Data/Abhi\Abyssinian\Abyssinian_42.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_43,Data/Abhi\Abyssinian\Abyssinian_43.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_44,Data/Abhi\Abyssinian\Abyssinian_44.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_45,Data/Abhi\Abyssinian\Abyssinian_45.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_46,Data/Abhi\Abyssinian\Abyssinian_46.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_47,Data/Abhi\Abyssinian\Abyssinian_47.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_48,Data/Abhi\Abyssinian\Abyssinian_48.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_49,Data/Abhi\Abyssinian\Abyssinian_49.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_50,Data/Abhi\Abyssinian\Abyssinian_50.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_51,Data/Abhi\Abyssinian\Abyssinian_51.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
American_shorthair_35,Data/Abhi\American Shorthair\American_shorthair_35.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_36,Data/Abhi\American Shorthair\American_shorthair_36.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_37,Data/Abhi\American Shorthair\American_shorthair_37.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_38,Data/Abhi\American Shorthair\American_shorthair_38.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_39,Data/Abhi\American Shorthair\American_shorthair_39.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_40,Data/Abhi\American Shorthair\American_shorthair_40.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_41,Data/Abhi\American Shorthair\American_shorthair_41.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_42,Data/Abhi\American Shorthair\American_shorthair_42.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_43,Data/Abhi\American Shorthair\American_shorthair_43.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_44,Data/Abhi\American Shorthair\American_shorthair_44.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_45,Data/Abhi\American Shorthair\American_shorthair_45.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_46,Data/Abhi\American Shorthair\American_shorthair_46.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_47,Data/Abhi\American Shorthair\American_shorthair_47.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_48,Data/Abhi\American Shorthair\American_shorthair_48.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_49,Data/Abhi\American Shorthair\American_shorthair_49.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_50,Data/Abhi\American Shorthair\American_shorthair_50.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_51,Data/Abhi\American Shorthair\American_shorthair_51.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_52,Data/Abhi\American Shorthair\American_shorthair_52.jpg,American Shorthair,Shorthair,Even temperament
Balinese_35,Data/Abhi\Balinese\Balinese_35.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_36,Data/Abhi\Balinese\Balinese_36.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_37,Data/Abhi\Balinese\Balinese_37.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_38,Data/Abhi\Balinese\Balinese_38.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_39,Data/Abhi\Balinese\Balinese_39.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_40,Data/Abhi\Balinese\Balinese_40.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_41,Data/Abhi\Balinese\Balinese_41.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_42,Data/Abhi\Balinese\Balinese_42.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_43,Data/Abhi\Balinese\Balinese_43.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_44,Data/Abhi\Balinese\Balinese_44.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_45,Data/Abhi\Balinese\Balinese_45.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_46,Data/Abhi\Balinese\Balinese_46.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_47,Data/Abhi\Balinese\Balinese_47.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_48,Data/Abhi\Balinese\Balinese_48.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_49,Data/Abhi\Balinese\Balinese_49.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_50,Data/Abhi\Balinese\Balinese_50.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Balinese_51,Data/Abhi\Balinese\Balinese_51.jpg,Balinese,Longhair,"Vocal, affectionate, active"
Bengal_35,Data/Abhi\Bengal\Bengal_35.jpg,Bengal,Shorthair,Curious and athletic
Bengal_36,Data/Abhi\Bengal\Bengal_36.jpg,Bengal,Shorthair,Curious and athletic
Bengal_37,Data/Abhi\Bengal\Bengal_37.jpg,Bengal,Shorthair,Curious and athletic
Bengal_38,Data/Abhi\Bengal\Bengal_38.jpg,Bengal,Shorthair,Curious and athletic
Bengal_39,Data/Abhi\Bengal\Bengal_39.jpg,Bengal,Shorthair,Curious and athletic
Bengal_40,Data/Abhi\Bengal\Bengal_40.jpg,Bengal,Shorthair,Curious and athletic
Bengal_41,Data/Abhi\Bengal\Bengal_41.jpg,Bengal,Shorthair,Curious and athletic
Bengal_42,Data/Abhi\Bengal\Bengal_42.jpg,Bengal,Shorthair,Curious and athletic
Bengal_43,Data/Abhi\Bengal\Bengal_43.jpg,Bengal,Shorthair,Curious and athletic
Bengal_44,Data/Abhi\Bengal\Bengal_44.jpg,Bengal,Shorthair,Curious and athletic
Bengal_45,Data/Abhi\Bengal\Bengal_45.jpg,Bengal,Shorthair,Curious and athletic
Bengal_46,Data/Abhi\Bengal\Bengal_46.jpg,Bengal,Shorthair,Curious and athletic
Bengal_47,Data/Abhi\Bengal\Bengal_47.jpg,Bengal,Shorthair,Curious and athletic
Bengal_48,Data/Abhi\Bengal\Bengal_48.jpg,Bengal,Shorthair,Curious and athletic
Bengal_49,Data/Abhi\Bengal\Bengal_49.jpg,Bengal,Shorthair,Curious and athletic
Bengal_50,Data/Abhi\Bengal\Bengal_50.jpg,Bengal,Shorthair,Curious and athletic
Bengal_51,Data/Abhi\Bengal\Bengal_51.jpg,Bengal,Shorthair,Curious and athletic
Bengal_52,Data/Abhi\Bengal\Bengal_52.jpg,Bengal,Shorthair,Curious and athletic
Birman_35,Data/Abhi\Birman\Birman_35.jpg,Birman,Longhair,Sweet and affectionate
Birman_36,Data/Abhi\Birman\Birman_36.jpg,Birman,Longhair,Sweet and affectionate
Birman_37,Data/Abhi\Birman\Birman_37.jpg,Birman,Longhair,Sweet and affectionate
Birman_38,Data/Abhi\Birman\Birman_38.jpg,Birman,Longhair,Sweet and affectionate
Birman_39,Data/Abhi\Birman\Birman_39.jpg,Birman,Longhair,Sweet and affectionate
Birman_40,Data/Abhi\Birman\Birman_40.jpg,Birman,Longhair,Sweet and affectionate
Birman_41,Data/Abhi\Birman\Birman_41.jpg,Birman,Longhair,Sweet and affectionate
Birman_42,Data/Abhi\Birman\Birman_42.jpg,Birman,Longhair,Sweet and affectionate
Birman_43,Data/Abhi\Birman\Birman_43.jpg,Birman,Longhair,Sweet and affectionate
Birman_44,Data/Abhi\Birman\Birman_44.jpg,Birman,Longhair,Sweet and affectionate
Birman_45,Data/Abhi\Birman\Birman_45.jpg,Birman,Longhair,Sweet and affectionate
Birman_46,Data/Abhi\Birman\Birman_46.jpg,Birman,Longhair,Sweet and affectionate
Birman_47,Data/Abhi\Birman\Birman_47.jpg,Birman,Longhair,Sweet and affectionate
Birman_48,Data/Abhi\Birman\Birman_48.jpg,Birman,Longhair,Sweet and affectionate
Birman_49,Data/Abhi\Birman\Birman_49.jpg,Birman,Longhair,Sweet and affectionate
Birman_50,Data/Abhi\Birman\Birman_50.jpg,Birman,Longhair,Sweet and affectionate
Birman_51,Data/Abhi\Birman\Birman_51.jpg,Birman,Longhair,Sweet and affectionate
British_shorthair_35,Data/Abhi\British Shorthair\British_shorthair_35.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_36,Data/Abhi\British Shorthair\British_shorthair_36.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_37,Data/Abhi\British Shorthair\British_shorthair_37.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_38,Data/Abhi\British Shorthair\British_shorthair_38.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_39,Data/Abhi\British Shorthair\British_shorthair_39.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_40,Data/Abhi\British Shorthair\British_shorthair_40.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_41,Data/Abhi\British Shorthair\British_shorthair_41.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_42,Data/Abhi\British Shorthair\British_shorthair_42.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_43,Data/Abhi\British Shorthair\British_shorthair_43.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
British_shorthair_44,Data/Abhi\British Shorthair\British_shorthair_44.jpg,British Shorthair,Shorthair,Calm and quiet; enjoy people
