Image ID,Path,Breed Name,Coat Length,Personality
Abyssinian_01,Data/Sadia\Abyssinian\Abyssinian_01.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_02,Data/Sadia\Abyssinian\Abyssinian_02.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_03,Data/Sadia\Abyssinian\Abyssinian_03.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_04,Data/Sadia\Abyssinian\Abyssinian_04.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_05,Data/Sadia\Abyssinian\Abyssinian_05.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_06,Data/Sadia\Abyssinian\Abyssinian_06.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_07,Data/Sadia\Abyssinian\Abyssinian_07.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_08,Data/Sadia\Abyssinian\Abyssinian_08.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_09,Data/Sadia\Abyssinian\Abyssinian_09.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_10,Data/Sadia\Abyssinian\Abyssinian_10.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_11,Data/Sadia\Abyssinian\Abyssinian_11.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_12,Data/Sadia\Abyssinian\Abyssinian_12.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_13,Data/Sadia\Abyssinian\Abyssinian_13.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_14,Data/Sadia\Abyssinian\Abyssinian_14.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_15,Data/Sadia\Abyssinian\Abyssinian_15.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_16,Data/Sadia\Abyssinian\Abyssinian_16.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
Abyssinian_17,Data/Sadia\Abyssinian\Abyssinian_17.jpg,Abyssinian,ShortHair,"Busy, active, agenda-driven and affectionate"
American_shorthair_01,Data/Sadia\American Shorthair\American_shorthair_01.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_02,Data/Sadia\American Shorthair\American_shorthair_02.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_03,Data/Sadia\American Shorthair\American_shorthair_03.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_04,Data/Sadia\American Shorthair\American_shorthair_04.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_05,Data/Sadia\American Shorthair\American_shorthair_05.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_06,Data/Sadia\American Shorthair\American_shorthair_06.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_07,Data/Sadia\American Shorthair\American_shorthair_07.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_08,Data/Sadia\American Shorthair\American_shorthair_08.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_09,Data/Sadia\American Shorthair\American_shorthair_09.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_10,Data/Sadia\American Shorthair\American_shorthair_10.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_11,Data/Sadia\American Shorthair\American_shorthair_11.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_12,Data/Sadia\American Shorthair\American_shorthair_12.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_13,Data/Sadia\American Shorthair\American_shorthair_13.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_14,Data/Sadia\American Shorthair\American_shorthair_14.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_15,Data/Sadia\American Shorthair\American_shorthair_15.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_16,Data/Sadia\American Shorthair\American_shorthair_16.jpg,American Shorthair,Shorthair,Even temperament
American_shorthair_17,Data/Sadia\American Shorthair\American_shorthair_17.jpg,American Shorthair,Shorthair,Even temperament
